NumTrials=1200, DotSize = 3, Nx = 308, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
-1,1,0.58573,21.25,1
1,1,0.98601,5.3125,0.25
-1,3,0.6251,5.3125,0.25
-1,1,0.51632,5.3125,0.25
-1,1,0.52415,42.5,0.75
1,3,0.51464,21.25,1
1,1,0.5353,42.5,0
-1,3,0.56464,5.3125,0.25
-1,1,0.51751,21.25,1
1,1,0.59196,42.5,0
-1,1,0.50501,10.625,1
-1,1,0.50546,21.25,0.25
1,3,0.50871,5.3125,0.5
-1,3,0.58987,42.5,0.25
-1,3,0.51498,21.25,0
1,1,0.50738,10.625,0.75
-1,3,0.53972,21.25,0
-1,1,0.50724,10.625,0.75
-1,1,0.52333,42.5,1
-1,1,0.51479,21.25,0.75
1,3,0.50729,10.625,0.75
-1,1,0.51162,42.5,1
-1,1,1.7204,42.5,0.75
1,1,0.65281,5.3125,0.75
-1,1,0.52756,21.25,0.75
-1,1,0.5072,10.625,1
-1,1,0.5095,5.3125,0.5
1,3,0.50628,21.25,1
-1,1,0.53414,5.3125,1
1,3,0.73242,21.25,0.75
1,3,0.55266,5.3125,1
1,3,0.74584,42.5,0.25
-1,1,0.66672,5.3125,0
1,3,0.51126,5.3125,0.25
-1,1,0.50806,10.625,1
-1,1,0.53078,5.3125,0.75
1,3,0.77874,10.625,0.5
1,3,0.52439,42.5,0.5
-1,1,0.5194,42.5,1
1,3,0.51766,21.25,1
1,3,0.52206,42.5,0.5
1,3,0.51594,21.25,0
-1,1,0.54416,21.25,0.75
-1,3,0.55576,5.3125,0
1,3,0.51286,5.3125,0.75
1,3,0.64161,5.3125,0
-1,3,0.50989,10.625,0
-1,1,0.50543,21.25,0.75
1,3,0.50978,21.25,0
1,3,0.52198,21.25,0.5
-1,1,0.50982,21.25,0.75
1,3,0.50977,21.25,0.75
-1,1,0.52258,42.5,0.5
1,3,0.51493,21.25,1
1,3,0.50982,21.25,0.25
1,3,0.50711,10.625,1
-1,3,0.5082,21.25,0.25
-1,1,0.54529,21.25,0.5
1,3,0.50987,21.25,0.75
-1,3,0.59054,5.3125,0.75
-1,1,0.50825,10.625,1
1,3,0.52279,42.5,0.25
-1,3,0.53296,5.3125,0
1,3,0.50814,10.625,0
-1,3,0.53368,21.25,0
1,3,0.51697,10.625,0.75
1,3,0.52228,42.5,1
1,3,0.63851,21.25,0
-1,1,0.63091,10.625,0.5
-1,1,0.82828,21.25,0
-1,1,0.65631,42.5,0.75
