NumTrials=720, DotSize = 2, Nx = 246, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
-1,1,5.3045,10.625,0
-1,1,2.3785,42.5,1
-1,3,1.1544,10.625,0.5
1,3,3.2715,10.625,0
-1,1,0.88757,21.25,1
1,3,0.98731,42.5,1
-1,1,0.8315,42.5,1
1,3,1.2577,5.3125,0
1,3,1.468,5.3125,1
1,3,2.5395,5.3125,0.5
-1,1,2.4105,10.625,1
-1,3,1.3698,5.3125,0.5
1,1,1.2645,5.3125,0.5
1,3,1.2241,5.3125,0.5
-1,1,2.2316,42.5,1
-1,3,1.171,5.3125,0
-1,1,3.3474,42.5,0.5
1,3,2.3685,10.625,0.5
-1,1,1.8499,10.625,0
-1,1,2.9055,21.25,1
-1,3,0.86741,10.625,0.5
1,3,0.92437,5.3125,0
1,3,0.81876,42.5,0.5
1,3,0.8008,10.625,1
1,3,0.79159,42.5,0
-1,3,0.8352,42.5,0
-1,1,0.75253,10.625,0.5
1,3,0.80482,5.3125,1
-1,3,0.85435,10.625,0
-1,3,0.97031,5.3125,0.5
1,3,0.79743,21.25,0.5
-1,1,1.2338,5.3125,0.5
1,3,1.2442,10.625,0.5
1,3,0.79623,5.3125,1
1,3,0.79221,42.5,0
-1,1,0.75559,42.5,1
-1,3,0.72934,21.25,0
-1,1,1.5173,10.625,0.5
-1,1,0.86097,42.5,1
-1,1,0.79352,5.3125,1
1,3,0.74703,42.5,1
1,3,0.75818,21.25,1
1,3,1.221,42.5,0
1,3,0.95786,42.5,0.5
-1,1,0.84389,21.25,1
1,3,0.84206,10.625,0.5
1,3,0.82358,21.25,0
-1,3,0.83765,21.25,0
-1,1,0.78791,5.3125,1
1,3,0.83996,21.25,1
1,3,0.84795,10.625,0
-1,3,0.78971,10.625,0
-1,1,3.792,21.25,0.5
-1,3,2.1273,10.625,0
1,3,0.8193,42.5,1
-1,1,1.0003,21.25,0.5
1,3,1.0473,21.25,0.5
-1,3,0.85857,21.25,0
1,3,0.84559,5.3125,1
-1,1,0.90183,5.3125,1
-1,1,0.7707,42.5,1
1,3,0.77708,5.3125,1
1,3,0.76214,21.25,0
1,3,0.75454,21.25,0.5
-1,1,0.91658,42.5,0.5
-1,3,1.2386,5.3125,0.5
1,3,0.89469,10.625,1
-1,3,1.7489,42.5,0
1,3,0.75248,21.25,1
1,3,0.78989,5.3125,1
-1,1,0.76195,21.25,0.5
-1,3,0.95359,5.3125,0
-1,3,1.2108,10.625,0
1,3,0.81886,10.625,1
-1,1,0.78554,10.625,1
-1,1,1.3597,21.25,1
1,3,1.1329,42.5,0
-1,3,1.8996,42.5,0
-1,3,0.8801,42.5,0
-1,1,1.0179,10.625,1
-1,3,5.5232,5.3125,0
-1,1,2.4792,10.625,0.5
1,3,1.2926,10.625,1
1,3,1.4446,10.625,0
-1,1,0.9956,10.625,1
-1,1,1.1609,5.3125,0.5
-1,1,1.0175,10.625,1
1,3,1.7049,5.3125,0.5
1,3,0.8281,10.625,1
-1,1,0.76505,21.25,1
1,3,0.81181,10.625,0
-1,1,1.0454,42.5,0.5
1,3,0.77042,21.25,0.5
-1,1,1.4525,5.3125,0.5
-1,1,1.3497,21.25,0.5
-1,1,0.80256,42.5,1
-1,3,0.83981,21.25,0
-1,3,0.80145,10.625,0
1,3,0.89342,5.3125,1
-1,1,1.1585,5.3125,0.5
-1,1,0.88603,10.625,1
1,3,0.69985,21.25,0
-1,1,1.2345,5.3125,1
1,3,0.88927,10.625,0
-1,1,0.78317,21.25,1
-1,1,0.79535,5.3125,1
-1,1,1.1311,5.3125,1
-1,3,0.98009,5.3125,0
1,1,1.2432,42.5,0.5
-1,3,2.1636,42.5,0.5
1,3,1.0167,5.3125,1
-1,1,0.75082,21.25,0.5
1,3,1.2344,5.3125,0
1,3,2.2393,21.25,1
-1,1,2.6323,5.3125,0.5
1,3,1.1255,42.5,0.5
-1,1,1.352,21.25,1
1,3,1.4204,10.625,1
1,3,0.77326,10.625,0.5
-1,3,2.7191,21.25,0
-1,1,14.9188,21.25,1
1,3,0.94023,42.5,0.5
-1,3,1.1482,21.25,0
-1,3,1.1942,21.25,0
-1,3,0.79282,42.5,0
1,3,0.99015,21.25,1
1,1,6.8862,10.625,0
1,3,0.88574,10.625,0
-1,3,1.2023,21.25,0
-1,3,2.0797,21.25,0
1,3,0.80955,10.625,0.5
1,3,0.82222,10.625,0.5
-1,3,0.77288,10.625,0
-1,3,0.81765,5.3125,0
-1,3,1.09,42.5,0
-1,1,0.7779,10.625,0.5
1,3,0.76033,42.5,0
1,3,0.84279,5.3125,1
1,3,0.80521,42.5,0
1,1,0.99222,5.3125,0
1,3,1.2333,5.3125,0.5
-1,1,1.1045,21.25,0
-1,3,0.83655,42.5,0.5
-1,1,1.5454,42.5,0.5
-1,3,1.6831,21.25,0.5
-1,1,0.99115,5.3125,1
-1,3,0.79508,21.25,0
1,3,1.0761,21.25,0
-1,1,0.91094,5.3125,0.5
-1,1,0.80971,42.5,1
1,3,0.9058,21.25,0.5
-1,1,0.73353,10.625,1
1,3,0.88074,10.625,0.5
-1,1,1.4808,21.25,0.5
-1,1,0.77022,10.625,1
1,3,0.76628,21.25,0
1,3,0.92718,21.25,0.5
1,3,0.81992,21.25,0
-1,1,1.1784,21.25,0.5
-1,1,0.77284,42.5,1
1,3,0.78833,5.3125,0
1,3,1.0852,5.3125,0.5
1,3,0.93134,10.625,0
1,1,0.96585,10.625,0
-1,1,0.77592,21.25,1
1,3,0.78787,5.3125,0
-1,3,0.7963,42.5,0.5
1,3,1.2887,21.25,0
-1,3,0.82188,42.5,0
1,3,0.79798,5.3125,0
-1,1,0.88128,10.625,0.5
-1,1,0.72343,42.5,1
-1,1,0.75209,10.625,0.5
1,3,0.57311,10.625,0
1,3,1.9938,5.3125,0.5
1,3,0.75384,42.5,0
-1,3,0.92046,42.5,0
1,3,0.87374,21.25,0.5
1,3,1.1535,5.3125,0.5
-1,1,0.82477,21.25,1
1,3,0.86153,5.3125,0.5
1,1,1.1033,42.5,0.5
-1,1,1.3071,10.625,0.5
1,3,0.90342,10.625,0.5
-1,3,0.81958,10.625,0
-1,1,0.79339,5.3125,1
1,3,0.74261,10.625,1
1,3,0.68577,10.625,0
-1,1,0.69781,21.25,0.5
-1,1,0.78572,42.5,0.5
1,3,0.77208,10.625,0.5
1,3,0.86932,10.625,0
-1,1,1.1479,5.3125,0
1,3,1.0146,21.25,0.5
