NumTrials=720, DotSize = 2, Nx = 246, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
-1,3,1.2904,5.3125,0
1,3,2.3874,10.625,0.5
1,3,0.94986,21.25,0.5
-1,1,0.85851,21.25,0.5
1,3,0.67088,42.5,1
1,3,1.2795,5.3125,0.5
1,3,0.73463,5.3125,1
-1,3,1.335,5.3125,0
1,1,1.0124,21.25,0.5
-1,3,2.7889,5.3125,0.5
1,3,0.89869,10.625,0
1,3,1.0768,21.25,1
1,3,1.3938,10.625,0.5
1,3,1.9135,5.3125,1
-1,1,0.92378,42.5,0.5
-1,1,1.4892,5.3125,1
1,3,0.88835,21.25,0.5
-1,3,2.3934,10.625,0
1,3,0.88231,42.5,1
-1,1,0.95121,5.3125,1
-1,3,0.70372,21.25,0
-1,1,0.72924,10.625,1
1,3,0.68515,42.5,0
1,3,0.67296,10.625,0.5
-1,1,0.73635,10.625,0.5
-1,1,0.63233,5.3125,1
-1,3,0.93667,21.25,0.5
1,3,1.405,42.5,1
-1,1,0.74569,42.5,1
1,3,0.92687,42.5,0
1,3,0.81155,42.5,0.5
-1,1,1.4069,21.25,0.5
1,1,1.1399,10.625,1
-1,1,0.65157,10.625,0.5
1,3,1.0867,10.625,0.5
1,3,0.62993,5.3125,0.5
1,3,1.1379,5.3125,0.5
1,3,0.77511,21.25,0
-1,3,0.8517,21.25,0
-1,3,0.63965,42.5,0
-1,1,0.64191,21.25,1
1,3,0.67716,21.25,0
1,3,0.81771,42.5,0.5
1,3,0.76236,42.5,1
-1,3,0.72224,10.625,0
-1,3,1.0824,10.625,0
1,3,0.87813,10.625,1
1,3,1.2621,21.25,0.5
1,3,1.3611,42.5,0.5
1,3,0.9812,42.5,0.5
-1,1,0.64373,21.25,0.5
-1,3,0.84169,10.625,0
-1,1,0.73836,5.3125,0.5
-1,3,0.67276,21.25,0
-1,1,0.55132,21.25,1
1,3,0.77326,42.5,0.5
1,3,0.77774,21.25,0
-1,3,0.70341,5.3125,0
1,1,0.82566,21.25,1
1,3,1.0721,42.5,0.5
1,3,0.67302,5.3125,0
-1,3,0.93373,10.625,0
1,3,0.86856,21.25,1
-1,1,0.61861,5.3125,1
1,3,0.90694,5.3125,0.5
-1,3,0.80333,5.3125,0
1,3,0.73972,10.625,1
1,1,0.79087,42.5,1
-1,1,1.058,5.3125,0.5
-1,1,0.54082,42.5,1
1,3,0.6291,10.625,1
1,3,0.691,5.3125,0
-1,1,0.65221,5.3125,0.5
-1,1,0.63576,21.25,0.5
1,3,0.72617,42.5,0
-1,1,0.51668,5.3125,1
1,1,0.75673,42.5,0.5
1,1,1.0733,10.625,0
-1,1,0.52089,10.625,0.5
-1,1,0.73365,10.625,0
1,3,0.77517,42.5,0.5
-1,3,0.73129,21.25,0
-1,1,0.53488,10.625,0.5
1,3,1.4423,10.625,1
1,3,0.66445,5.3125,0
-1,1,0.5456,42.5,1
1,3,0.59267,21.25,0
-1,1,0.63553,21.25,1
1,3,0.73684,10.625,0
1,1,0.96024,21.25,0
1,3,1.4369,21.25,1
1,1,0.99582,21.25,0.5
-1,1,0.69057,42.5,0.5
-1,1,0.99622,5.3125,0
1,3,0.81131,10.625,0.5
-1,1,0.51552,10.625,1
1,3,0.58833,42.5,0
1,1,1.2395,5.3125,0.5
1,3,1.0795,10.625,0
1,3,0.58139,42.5,0.5
-1,3,0.78204,21.25,0
1,3,0.86737,5.3125,0
-1,3,0.69263,5.3125,0
1,3,0.68093,21.25,0
-1,3,0.787,5.3125,0
1,3,0.86255,5.3125,0.5
1,1,0.51596,42.5,0
-1,3,1.0147,10.625,0
1,3,0.91715,21.25,1
1,3,0.73944,10.625,0.5
1,3,0.69354,5.3125,0
1,3,0.89493,5.3125,0.5
-1,1,0.80306,5.3125,0.5
-1,1,0.55559,10.625,1
-1,3,1.095,42.5,0
-1,3,0.58499,42.5,0
-1,3,0.89816,5.3125,0
-1,1,0.64552,21.25,0.5
1,3,0.8829,5.3125,0.5
-1,3,0.74664,10.625,0
1,3,1.0176,42.5,0.5
1,3,0.75248,10.625,0
-1,1,0.55365,21.25,1
-1,3,1.3884,10.625,0
1,3,0.90538,21.25,0.5
1,1,0.71514,10.625,1
-1,1,0.61444,42.5,0.5
-1,3,0.72257,42.5,0
1,1,0.93978,21.25,0.5
-1,3,0.67698,5.3125,0
1,3,0.70456,10.625,0
-1,3,0.62657,21.25,0
-1,3,0.57658,21.25,0
-1,1,0.69767,5.3125,0.5
-1,1,0.74165,10.625,1
1,3,0.63277,21.25,0
-1,1,0.58685,21.25,1
1,3,0.85272,21.25,1
1,3,1.0086,42.5,1
1,1,0.85273,5.3125,0.5
-1,1,0.91535,42.5,0
-1,3,0.7405,5.3125,0
-1,1,0.62489,21.25,1
1,3,0.63039,21.25,0.5
1,3,0.63333,21.25,0.5
1,3,0.76331,5.3125,0
-1,1,0.66857,10.625,1
-1,1,1.2099,21.25,0
1,3,1.4521,42.5,1
-1,3,1.0018,42.5,0
-1,1,1.0121,42.5,0.5
1,1,0.77521,21.25,0
1,1,1.0379,21.25,0.5
-1,1,0.77105,10.625,0
1,1,1.0592,10.625,1
-1,1,0.60984,5.3125,1
-1,1,0.61141,10.625,0.5
1,3,0.73954,10.625,0
1,3,1.0755,5.3125,1
-1,1,0.51869,10.625,1
1,3,0.7573,42.5,0.5
1,3,0.76706,10.625,0
1,3,0.70456,42.5,1
1,1,0.90219,5.3125,0.5
-1,1,0.54125,5.3125,1
-1,1,0.71818,5.3125,0
1,3,0.80717,21.25,1
1,3,0.76425,21.25,1
1,3,0.78959,21.25,0
-1,1,0.61099,5.3125,0.5
-1,1,0.72126,10.625,0.5
-1,1,0.53993,21.25,1
-1,1,0.63443,10.625,0.5
-1,1,0.84451,42.5,0.5
-1,3,0.66927,42.5,0
1,1,0.78332,10.625,0
-1,1,0.59719,42.5,0.5
1,3,0.79375,21.25,0
1,1,1.4669,10.625,0.5
1,1,1.1797,5.3125,0.5
1,3,0.99705,10.625,1
-1,1,0.81256,10.625,1
-1,1,0.53148,42.5,1
-1,1,0.59907,21.25,0.5
-1,1,0.51078,21.25,0.5
-1,1,0.90159,5.3125,0
-1,1,0.59556,5.3125,1
-1,1,0.64202,5.3125,0.5
-1,1,0.59354,42.5,0.5
1,1,0.94188,21.25,1
-1,1,0.6243,42.5,1
1,1,1.7579,21.25,0
1,1,1.098,10.625,0.5
1,1,0.80067,10.625,1
1,1,1.3912,21.25,1
-1,3,0.72546,42.5,0
-1,1,0.59327,21.25,1
-1,1,0.62695,5.3125,1
1,3,1.1416,10.625,0.5
1,3,0.83562,5.3125,1
-1,1,0.5958,5.3125,0.5
-1,1,0.64991,5.3125,0
1,3,0.7976,42.5,1
-1,1,0.53127,10.625,1
-1,1,0.69525,5.3125,0.5
1,3,0.62678,10.625,1
-1,1,0.5154,42.5,1
1,3,0.61789,42.5,1
-1,1,0.60518,21.25,0.5
-1,1,0.61128,5.3125,1
-1,1,0.54398,21.25,1
-1,1,0.51079,21.25,1
1,3,0.87323,21.25,0.5
-1,1,0.54057,21.25,0
1,3,0.62804,10.625,1
-1,1,0.67353,42.5,0.5
-1,3,0.87476,42.5,0
-1,1,0.72649,42.5,0.5
1,1,0.83152,21.25,0.5
1,3,0.63634,42.5,0
-1,1,0.59956,10.625,0
-1,1,1.2658,21.25,0
1,3,0.73293,42.5,0
-1,1,0.53252,42.5,1
-1,1,0.53239,5.3125,0.5
-1,3,0.64863,42.5,0
-1,3,0.75324,42.5,0
1,1,0.89768,5.3125,0
1,3,0.58934,21.25,1
-1,1,0.57341,5.3125,1
1,3,0.64475,5.3125,1
-1,3,0.70843,42.5,0
1,3,0.66611,42.5,1
1,3,0.72881,5.3125,0
-1,1,0.585,21.25,0.5
-1,1,0.58161,21.25,0.5
1,3,0.63241,42.5,0
1,3,0.58753,10.625,1
-1,1,0.54984,42.5,1
-1,1,0.66872,42.5,0.5
1,3,0.51879,10.625,0.5
-1,3,0.62742,21.25,0
-1,1,0.85014,42.5,0.5
-1,1,1.3147,5.3125,0.5
1,3,0.55001,5.3125,1
-1,3,0.5472,5.3125,0
-1,1,0.6065,10.625,0.5
1,3,0.65755,5.3125,1
-1,1,0.78197,5.3125,0.5
-1,1,0.79799,10.625,1
1,3,0.55755,10.625,1
-1,3,1.023,10.625,1
1,3,0.71672,5.3125,1
1,3,0.5118,5.3125,1
-1,1,0.60725,42.5,0.5
-1,1,0.8346,5.3125,0.5
1,3,0.67458,10.625,1
1,3,0.76028,42.5,1
-1,3,0.93807,10.625,0
-1,1,0.53871,10.625,0.5
-1,1,0.51555,10.625,0.5
-1,3,0.78039,42.5,0
-1,3,0.67606,42.5,0
1,3,0.5998,42.5,0
1,3,0.91869,21.25,1
1,3,0.74462,42.5,1
-1,3,0.93112,5.3125,0
-1,3,0.90117,10.625,0
1,3,0.62752,42.5,0.5
1,3,0.70461,21.25,0
-1,1,0.52622,42.5,1
-1,1,0.50779,10.625,1
1,3,0.55241,42.5,0
-1,3,0.67125,42.5,0
-1,1,0.53816,5.3125,1
-1,1,0.52239,21.25,1
1,1,0.92912,5.3125,0
-1,3,0.50801,21.25,1
-1,1,0.56941,10.625,0.5
1,3,0.7446,5.3125,0
1,3,0.75519,21.25,0.5
-1,1,0.51516,42.5,1
1,3,0.63409,5.3125,1
1,3,0.64836,21.25,1
-1,3,0.68478,10.625,0
-1,1,0.51582,42.5,1
1,1,0.76918,5.3125,0
-1,1,0.50981,10.625,1
-1,1,0.58612,42.5,1
1,3,0.53882,21.25,1
1,3,0.66114,42.5,1
-1,1,0.51299,10.625,0.5
1,3,1.061,10.625,0
-1,1,0.62052,10.625,0.5
1,3,0.64302,10.625,0.5
-1,1,0.53071,42.5,0.5
-1,3,0.86185,21.25,0
1,3,0.69067,42.5,0.5
1,3,0.62708,10.625,0
-1,1,0.55794,21.25,0.5
1,3,0.56186,5.3125,1
1,1,0.91494,10.625,0
-1,1,0.58083,10.625,1
1,3,1.1551,21.25,0
-1,1,0.55782,10.625,0.5
1,1,0.93004,42.5,0
-1,1,0.52015,5.3125,0.5
1,1,0.66974,10.625,0.5
-1,1,0.5155,42.5,1
-1,1,0.53997,10.625,0.5
1,3,0.72397,5.3125,1
-1,1,0.50799,21.25,1
1,1,0.63339,21.25,0
1,1,1.2442,21.25,0.5
1,3,0.93036,5.3125,0
1,1,0.70904,5.3125,0.5
1,3,0.66585,21.25,0
-1,1,0.51502,42.5,1
-1,1,0.54358,42.5,0.5
-1,3,0.68109,21.25,0
-1,3,0.7243,10.625,0
1,3,0.70728,10.625,0.5
-1,1,0.83199,21.25,0.5
1,3,0.59472,42.5,0
1,3,0.73122,42.5,0
-1,3,0.72073,21.25,0
1,1,0.55492,42.5,0
-1,1,0.52128,42.5,1
1,3,0.63103,42.5,0
-1,1,0.50872,5.3125,1
1,3,0.77244,5.3125,1
-1,1,0.55401,5.3125,1
-1,1,0.63186,21.25,0.5
-1,3,0.53338,21.25,0
-1,1,0.56629,21.25,0.5
-1,3,0.78841,42.5,0.5
1,3,0.60705,10.625,0.5
1,3,0.64412,5.3125,1
1,1,0.85845,10.625,0
-1,1,0.57193,10.625,1
1,3,0.54484,5.3125,1
1,1,0.93509,5.3125,0.5
1,3,0.67239,42.5,0.5
1,3,0.68158,42.5,0.5
1,3,0.60014,10.625,1
1,3,0.61437,10.625,0
-1,1,0.51049,5.3125,1
1,3,0.51175,5.3125,0.5
-1,1,0.50797,21.25,1
1,3,0.51519,42.5,1
-1,1,0.54969,21.25,1
1,3,0.57889,5.3125,0
1,3,0.59478,21.25,0.5
1,1,1.0108,5.3125,0
1,3,0.60316,5.3125,0
1,3,0.70956,5.3125,0.5
1,3,0.57828,21.25,1
1,3,0.71717,10.625,0
1,3,0.8682,10.625,0.5
-1,1,0.53175,10.625,1
14,1,2.1007,21.25,0
-14,1,1.7568,42.5,0
-14,1,0.5496,21.25,0.5
-14,1,0.51078,21.25,1
14,3,0.51,5.3125,1
-14,3,0.50802,21.25,0.5
-14,1,0.51082,21.25,1
-14,1,0.51079,21.25,0.5
-14,1,0.61977,10.625,0
14,1,0.61701,21.25,0.5
14,3,0.60985,5.3125,0.5
14,1,0.57625,10.625,0
14,3,0.58816,42.5,1
14,1,0.66891,21.25,0
14,1,0.78107,21.25,0.5
-14,1,0.63137,42.5,0.5
14,3,0.53081,10.625,1
14,3,0.67858,5.3125,1
14,1,0.59618,42.5,0
14,1,0.66449,21.25,0.5
-14,1,0.51515,42.5,1
-14,1,0.50614,21.25,1
14,1,0.51082,21.25,0
-14,3,0.61818,21.25,0
-14,1,0.50898,10.625,0.5
-14,1,0.54566,10.625,0.5
-14,1,0.51138,10.625,0.5
14,3,0.67137,10.625,1
-14,1,0.51053,5.3125,1
14,3,0.51175,5.3125,0.5
14,3,0.54459,21.25,1
14,1,0.57476,10.625,0.5
-14,1,0.51137,10.625,0.5
-14,1,0.74812,42.5,0
-14,1,0.50885,5.3125,1
14,1,0.69194,10.625,0
14,1,0.51145,10.625,0
14,3,0.59416,21.25,0
14,1,0.5088,10.625,0
-14,1,2.4443,10.625,1
14,1,0.57172,42.5,0
-14,1,0.5088,5.3125,0.5
-14,1,0.50977,10.625,0
-14,1,0.51547,42.5,1
-14,1,2.1362,5.3125,1
-14,1,0.53219,5.3125,0
-14,1,0.50988,10.625,1
14,1,1.9135,21.25,1
14,1,0.71524,10.625,0.5
-14,1,0.51134,10.625,0
-14,1,0.61895,21.25,0.5
14,1,0.50893,10.625,0.5
-14,1,2.2375,10.625,0.5
14,1,0.51139,10.625,0.5
14,1,0.51136,10.625,0
14,1,0.51129,10.625,0.5
-14,1,0.50763,21.25,0.5
-14,1,0.50998,5.3125,1
-14,1,2.2798,42.5,1
