NumTrials=720, DotSize = 2, Nx = 246, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
-1,3,1.5153,42.5,0
1,1,1.8077,10.625,0.5
1,3,0.84759,5.3125,1
1,1,0.92406,5.3125,0.5
-1,1,0.78296,10.625,0.5
-1,1,0.88679,21.25,0.5
1,3,0.85697,5.3125,0
1,3,0.75846,42.5,1
-1,1,0.7928,5.3125,0.5
-1,3,0.77767,5.3125,0
1,3,0.90569,10.625,1
-1,1,0.57172,10.625,0.5
-1,1,0.84171,42.5,1
1,3,0.93807,5.3125,0.5
-1,1,0.62794,10.625,0.5
1,3,0.78067,21.25,0
-1,3,0.75175,10.625,0
-1,1,0.71179,21.25,0.5
-1,3,0.7,42.5,0
1,3,1.7914,21.25,0.5
-1,1,0.57844,42.5,1
-1,1,0.8232,21.25,0.5
-1,1,1.0633,42.5,0.5
-1,3,1.1445,5.3125,0
-1,1,0.78497,42.5,1
-1,3,0.91426,10.625,0
1,3,1.7621,5.3125,0
-1,1,0.6908,10.625,1
-1,1,1.0123,10.625,1
-1,1,1.1829,42.5,1
1,3,0.96754,21.25,0.5
1,3,1.7759,10.625,0.5
-1,1,0.75242,21.25,1
1,3,0.8443,5.3125,0
-1,3,0.97361,42.5,0
1,3,1.1774,21.25,0.5
-1,1,1.159,5.3125,0.5
-1,1,1.3387,42.5,1
-1,3,0.91405,10.625,0
1,3,1.0283,42.5,1
-1,1,0.74476,42.5,0.5
1,3,0.85846,21.25,0
-1,1,0.9747,21.25,1
1,3,1.4436,5.3125,1
-1,1,2.0204,5.3125,0
-1,1,1.5153,42.5,0.5
1,3,0.94135,42.5,0
1,1,2.2737,5.3125,0.5
1,3,1.0012,42.5,0
1,3,1.5046,42.5,0.5
-1,1,0.74312,10.625,0.5
1,3,0.74046,21.25,0.5
1,3,0.79586,5.3125,0.5
-1,1,0.72985,10.625,1
-1,1,0.81938,5.3125,0.5
1,1,1.5633,5.3125,0.5
1,3,0.7867,10.625,0
-1,1,0.88614,10.625,0.5
1,3,0.80249,21.25,1
-1,1,0.92607,10.625,1
1,3,1.3804,5.3125,0
-1,1,0.89329,10.625,1
