NumTrials=720, DotSize = 2, Nx = 192, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
1,3,0.76844,10.625,0.5
1,3,0.56504,42.5,1
-1,3,1.0673,42.5,0
-1,1,0.52436,42.5,1
1,3,0.51513,42.5,1
-1,3,0.73018,42.5,0
1,3,0.6308,21.25,0.5
-1,3,0.65565,42.5,0
-1,1,0.52434,42.5,1
1,3,0.61107,5.3125,1
-1,3,0.60669,10.625,0
-1,1,0.55477,10.625,1
-1,3,0.5441,10.625,0.5
1,3,0.55814,10.625,0
1,3,0.52925,21.25,0
1,3,0.51189,42.5,0
-1,1,0.552,5.3125,0.5
-1,1,1.0529,21.25,0.5
1,3,0.50781,21.25,1
-1,1,0.69519,5.3125,0
1,3,0.53169,42.5,0
1,3,0.86084,5.3125,0
-1,1,0.55915,5.3125,0.5
1,3,0.61167,10.625,0
-1,1,0.50807,10.625,1
1,3,0.54866,21.25,1
1,1,0.80322,10.625,1
1,3,0.65598,10.625,0.5
1,3,0.5692,5.3125,1
-1,1,0.51254,42.5,1
1,3,0.55542,10.625,1
1,3,0.80087,21.25,0.5
1,3,0.58103,10.625,1
-1,1,0.55454,5.3125,1
-1,1,0.6883,5.3125,0.5
1,3,0.57648,5.3125,0.5
-1,3,0.56097,42.5,0
1,1,0.83292,5.3125,0.5
1,3,0.51247,42.5,0.5
1,3,0.56149,10.625,0.5
-1,1,0.56831,5.3125,1
-1,3,0.57395,5.3125,0
1,3,0.73774,10.625,0.5
1,3,0.71602,42.5,0
-1,1,0.51726,10.625,1
-1,1,1.2762,21.25,0
1,3,0.50653,10.625,0
1,3,0.55839,5.3125,1
-1,3,0.56325,10.625,0
-1,1,0.50796,5.3125,1
-1,1,0.5062,21.25,1
1,3,0.61923,42.5,1
-1,1,0.51342,5.3125,0.5
1,3,0.83772,42.5,0
-1,1,0.50511,21.25,0.5
-1,1,0.50779,21.25,1
-1,1,0.52107,10.625,0.5
-1,1,0.60913,5.3125,0.5
1,3,0.57999,10.625,1
-1,3,0.633,10.625,0
1,3,0.84925,21.25,0.5
-1,3,0.64483,21.25,0
-1,3,0.62946,10.625,0
1,3,0.57535,21.25,0
-1,1,0.5247,10.625,1
-1,1,0.54447,42.5,0.5
-1,1,0.50608,10.625,1
-1,1,0.53674,5.3125,1
1,3,0.55097,5.3125,0.5
-1,3,0.52474,5.3125,0
1,3,0.56242,10.625,1
-1,1,0.50803,5.3125,1
1,3,0.65165,42.5,0.5
1,3,0.65406,21.25,0
1,3,0.61799,5.3125,1
1,3,0.52957,42.5,1
-1,1,0.50704,5.3125,0.5
1,1,0.59563,5.3125,0.5
-1,1,0.55041,10.625,0.5
-1,1,0.52473,5.3125,0.5
1,1,0.8235,42.5,0.5
1,3,0.72524,42.5,0
1,3,1.0431,10.625,0.5
1,3,0.53285,21.25,0
1,3,0.55699,21.25,0.5
1,3,0.6263,21.25,0.5
1,3,0.51713,21.25,1
1,3,0.56772,42.5,0.5
1,1,0.59208,5.3125,0.5
1,3,0.5124,42.5,1
-1,1,0.52329,42.5,1
1,3,0.72201,5.3125,0.5
-1,1,0.50602,21.25,0.5
-1,1,0.50769,5.3125,1
1,3,0.51068,21.25,0.5
1,3,0.83945,21.25,0
1,3,0.51349,21.25,0
-1,1,0.53662,21.25,0.5
-1,1,0.5547,42.5,0.5
-1,1,0.50763,5.3125,1
-1,1,0.50742,10.625,1
1,1,0.93928,5.3125,0
1,3,0.85785,5.3125,0
1,1,0.63427,10.625,0
1,3,0.55717,5.3125,1
1,3,0.55069,42.5,0.5
-1,1,0.62308,5.3125,0.5
-1,1,0.51251,42.5,1
1,1,0.55298,42.5,0
-1,1,0.81438,42.5,0.5
1,3,0.50711,5.3125,1
1,3,0.66403,21.25,1
-1,1,0.51469,5.3125,1
1,3,0.87824,42.5,0.5
-1,1,0.50518,21.25,1
-1,3,0.52055,10.625,0
-1,1,0.51218,42.5,0.5
-1,1,0.51067,42.5,0.5
1,3,0.51795,42.5,0.5
1,3,1.0202,10.625,0
1,3,0.52697,21.25,1
1,3,0.56712,21.25,0.5
-1,1,0.51173,42.5,1
1,3,0.55363,10.625,0.5
-1,1,0.51223,42.5,1
1,3,0.77495,5.3125,0
1,3,1.357,5.3125,0.5
-1,1,0.51243,42.5,1
-1,3,0.54423,5.3125,0
-1,3,0.65528,5.3125,0.5
1,1,0.6146,21.25,0
1,3,0.82303,42.5,0
-1,1,0.50699,5.3125,1
1,3,0.50745,10.625,1
1,3,0.52065,42.5,1
1,3,0.74489,21.25,0.5
1,3,1.037,42.5,0
-1,1,0.50694,5.3125,1
1,3,0.63123,42.5,0.5
1,3,0.50701,42.5,1
1,3,0.56289,10.625,1
-1,1,0.53003,10.625,0.5
1,1,0.61623,5.3125,0
1,3,0.68365,5.3125,1
1,3,33.9191,42.5,0.5
1,1,0.61096,10.625,0
-1,1,0.52796,10.625,1
1,3,0.51221,42.5,1
1,1,0.61066,21.25,0.5
1,3,0.50773,21.25,1
1,1,0.56655,10.625,0.5
1,3,0.50811,10.625,1
1,3,0.50814,10.625,1
1,3,0.55577,10.625,1
1,3,0.8492,10.625,0.5
-1,3,0.74477,21.25,0
-1,1,0.52414,42.5,0.5
1,1,0.52665,42.5,0
1,1,0.52497,42.5,0
-1,3,0.55492,10.625,0
-1,3,0.53007,5.3125,0
1,3,0.52792,10.625,1
-1,1,0.52714,10.625,1
-1,1,0.62776,21.25,0
1,3,0.7828,10.625,0.5
-1,1,0.53866,21.25,0.5
1,1,0.58625,5.3125,0
1,3,0.51247,42.5,1
-1,1,0.50604,10.625,1
1,1,0.52545,5.3125,0
1,1,0.50741,10.625,0
-1,1,0.60723,42.5,0.5
-1,1,0.50693,5.3125,1
1,3,0.57482,5.3125,1
-1,1,0.57144,5.3125,0.5
1,1,0.52828,5.3125,0
-1,1,0.526,10.625,1
-1,1,0.50794,5.3125,0.5
1,3,0.55491,21.25,0.5
-1,1,0.5577,42.5,0.5
-1,3,0.66234,5.3125,0
-1,1,0.51859,21.25,0.5
-1,1,0.5178,10.625,1
1,3,0.5503,10.625,1
1,3,0.55398,21.25,1
-1,3,0.60093,5.3125,0
-1,1,0.50619,21.25,1
1,3,0.50721,10.625,1
1,3,0.50615,21.25,0.5
1,3,0.57095,21.25,0.5
-1,1,0.50773,5.3125,1
-1,1,0.50739,10.625,1
1,3,0.57851,42.5,1
-1,3,0.59242,21.25,0
1,3,0.54973,10.625,0
-1,1,0.50614,21.25,0
-1,1,0.51585,21.25,0
1,3,0.50767,5.3125,1
-1,1,1.2228,42.5,0
-1,1,0.64336,10.625,1
1,3,0.55099,5.3125,1
-1,1,0.50826,10.625,1
1,1,0.58013,5.3125,0.5
-1,1,0.7728,42.5,0.5
1,3,0.50515,21.25,1
-1,1,0.54758,10.625,0.5
-1,1,0.55033,42.5,0
-1,1,1.029,21.25,0
1,3,0.50669,10.625,0
-1,1,0.50795,5.3125,1
1,1,1.197,42.5,0
1,3,0.53095,10.625,0.5
-1,1,0.67927,42.5,0
-1,1,0.51273,21.25,1
1,3,0.5226,5.3125,1
-1,3,0.79377,5.3125,0
-1,1,0.67586,21.25,1
-1,1,0.59389,42.5,0.5
1,3,0.64926,5.3125,0
-1,1,0.61615,42.5,0.5
-1,1,0.66151,10.625,0
1,3,0.55597,42.5,0.5
-1,1,0.51454,21.25,1
-1,1,0.59211,42.5,0.5
-1,3,0.50693,42.5,0
-1,3,0.62272,5.3125,0
-1,1,0.50748,10.625,0.5
-1,1,0.50798,5.3125,1
-1,1,0.56052,10.625,0.5
1,3,0.57034,42.5,1
1,3,0.60952,10.625,0
-1,1,0.50614,21.25,1
-1,1,0.50993,21.25,0.5
1,1,0.62921,5.3125,0.5
-1,1,0.54017,42.5,1
1,3,0.73102,21.25,1
-1,1,0.70825,21.25,0
-1,1,0.78748,5.3125,0
-1,3,0.68424,42.5,0
1,3,0.66223,10.625,0
1,3,0.51214,42.5,0
1,3,0.70116,21.25,0
-1,1,0.69921,42.5,0
-1,1,0.50533,21.25,1
1,3,0.53414,21.25,1
1,1,0.51239,42.5,0
-1,1,0.52213,10.625,0.5
-1,1,0.7048,21.25,0.5
1,3,0.60992,21.25,0
1,3,0.76423,10.625,0
1,3,0.6246,21.25,0
1,3,0.51283,42.5,1
-1,1,0.50692,42.5,0.5
-1,1,0.50693,42.5,1
1,1,0.53815,42.5,0.5
