NumTrials=720, DotSize = 2, Nx = 246, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, RefreshRate, DotMatch
1,1,3.2112,10.625,0.5
1,3,7.8767,42.5,0
-1,1,1.159,10.625,0
1,3,1.5479,10.625,0.5
-1,1,0.88527,21.25,1
1,1,1.0227,10.625,0
-1,1,1.0438,10.625,0
1,1,0.9781,5.3125,0
1,3,0.93753,21.25,0.5
1,1,1.2843,5.3125,1
1,3,1.2707,42.5,1
-1,1,0.89564,42.5,0.5
-1,1,1.0838,42.5,0.5
1,3,1.2672,5.3125,0.5
1,3,1.5015,5.3125,1
1,1,1.2958,10.625,0
1,1,0.83764,10.625,0.5
-1,1,0.7566,10.625,0.5
1,3,1.4451,5.3125,1
1,3,0.88603,42.5,0.5
-1,1,0.93853,5.3125,0.5
-1,1,0.99897,21.25,0.5
1,1,2.1392,5.3125,1
-1,1,0.84389,10.625,0
-1,1,0.94913,42.5,0.5
-1,1,0.82722,5.3125,0.5
-1,1,0.78513,5.3125,1
1,3,0.73138,42.5,0
-1,1,0.71044,21.25,1
-1,1,0.77989,42.5,1
-1,3,0.71265,21.25,0
-1,1,0.7585,42.5,1
-1,1,0.84039,10.625,1
1,3,0.83493,10.625,1
-1,3,0.90983,10.625,0
1,1,0.86649,21.25,0.5
1,1,1.549,21.25,0.5
1,1,1.0743,21.25,0
-1,3,1.1188,42.5,0
1,3,2.5455,42.5,0
1,1,0.98884,10.625,1
1,3,1.2698,5.3125,0.5
1,1,1.0705,5.3125,0
-1,1,0.75427,21.25,1
1,3,0.76702,42.5,1
1,1,1.4581,5.3125,0
-1,3,0.76875,21.25,0
-1,1,0.78336,10.625,0.5
1,1,1.0508,5.3125,0
-1,3,0.86938,10.625,0
1,1,1.0432,42.5,0.5
1,1,1.0033,5.3125,0.5
1,1,0.86268,10.625,0.5
1,3,0.7083,21.25,1
-1,1,0.79786,10.625,0
-1,3,0.95756,5.3125,0
1,3,1.1004,21.25,1
1,1,1.1955,21.25,0.5
1,1,0.80763,10.625,0
-1,1,1.0048,42.5,0.5
-1,1,0.85652,5.3125,1
1,1,1.9909,5.3125,1
1,1,0.99482,10.625,0
1,3,0.77888,42.5,0.5
1,1,1.0504,42.5,0.5
-1,1,0.73035,21.25,1
-1,3,1.0542,10.625,0
1,1,0.91204,21.25,0
1,1,0.80373,21.25,1
1,1,1.5402,10.625,1
-1,3,0.77594,21.25,0
-1,1,0.93137,10.625,0.5
1,1,0.74681,21.25,0.5
-1,1,0.94771,42.5,1
1,1,1.1313,42.5,0.5
1,1,2.4583,10.625,1
1,3,1.0766,5.3125,0
1,1,0.69572,10.625,0.5
-1,1,0.86066,5.3125,1
-1,1,1.1499,42.5,1
1,3,0.85984,5.3125,1
1,1,0.86035,10.625,0.5
-1,1,0.86977,42.5,1
-1,1,0.74336,42.5,1
1,3,0.54507,21.25,0
-1,3,1.0092,10.625,0
1,3,1.0211,5.3125,1
1,1,2.0908,10.625,0.5
1,1,2.3286,21.25,1
1,3,0.82081,21.25,1
1,1,3.0973,10.625,0
1,1,0.64809,10.625,0
1,1,140.9726,21.25,1
1,1,0.81965,42.5,0
1,1,0.75513,10.625,0.5
1,1,0.86008,21.25,1
-1,3,0.68765,42.5,0.5
-1,1,0.84167,42.5,0
-1,1,0.79745,21.25,0.5
1,3,1.2765,21.25,0
-1,3,1.0234,5.3125,0
-1,1,0.70423,21.25,0.5
1,1,0.88958,10.625,1
1,3,1.02,10.625,0
-1,1,0.59088,21.25,1
1,3,0.72811,21.25,1
1,1,0.83621,5.3125,0
-1,1,0.8571,21.25,0
1,1,1.0426,5.3125,1
1,1,0.79162,21.25,0
1,1,0.76858,21.25,1
1,3,0.81231,10.625,1
-1,1,0.63657,5.3125,1
1,1,0.85265,5.3125,0.5
-1,1,0.77402,10.625,1
1,3,0.76567,42.5,0
-1,1,0.96836,5.3125,0.5
-1,1,1.6575,42.5,0.5
1,1,0.99623,10.625,1
1,3,0.75813,10.625,0.5
1,1,0.91946,10.625,0.5
-1,1,1.1236,5.3125,0.5
-1,3,0.79938,10.625,0
-1,1,0.73927,10.625,1
1,1,0.81212,10.625,0.5
-1,1,0.6988,10.625,0.5
1,3,0.70334,42.5,1
-1,1,0.81822,21.25,0.5
-1,1,1.4686,5.3125,0
1,3,0.89433,42.5,0.5
1,1,0.9271,5.3125,0.5
-1,1,0.87504,21.25,0.5
-1,1,1.5599,10.625,1
-1,1,0.80783,21.25,0.5
1,1,1.1883,5.3125,0.5
1,1,0.70468,21.25,0.5
1,1,0.819,5.3125,0.5
-1,3,0.55586,42.5,0
1,1,0.8473,21.25,0
-1,1,0.74323,21.25,0.5
1,1,1.1249,42.5,0.5
1,1,1.2422,10.625,1
1,1,0.85202,5.3125,1
1,3,1.0885,5.3125,0
-1,1,0.74512,42.5,0.5
1,1,1.1947,5.3125,0
-1,1,1.6757,5.3125,0.5
1,1,0.86347,5.3125,1
-1,1,2.005,10.625,1
-1,3,0.84132,42.5,0
-1,1,0.7751,21.25,1
-1,1,1.0278,10.625,1
1,3,0.81611,5.3125,0
1,1,1.7197,5.3125,0
1,1,1.1485,5.3125,0.5
1,3,0.8877,10.625,1
1,1,0.76931,10.625,0.5
1,1,0.79131,42.5,0.5
-1,1,0.7054,10.625,1
1,3,0.91674,5.3125,1
-1,1,0.74299,42.5,0.5
1,1,0.79113,10.625,1
1,1,0.76919,10.625,0
1,3,0.77485,10.625,0.5
1,1,0.86099,42.5,1
-1,1,0.77634,10.625,0
-1,1,0.71707,5.3125,1
-1,1,1.9106,5.3125,0
1,1,1.2932,10.625,1
-1,3,1.2514,42.5,0
1,1,1.0239,5.3125,1
-1,1,0.90971,5.3125,0.5
1,1,0.76231,21.25,0.5
1,1,0.70742,42.5,0
-1,1,0.71404,42.5,0.5
1,3,0.55099,21.25,1
-1,1,1.1251,21.25,0.5
1,3,0.60194,21.25,1
-1,1,1.0362,21.25,0
-1,1,0.95513,21.25,1
1,1,1.3726,21.25,0.5
-1,1,0.81757,5.3125,1
-1,3,0.91423,42.5,0.5
1,1,0.7634,5.3125,0.5
1,1,0.78615,10.625,0
1,3,0.75787,42.5,1
1,3,0.80944,42.5,0
-1,1,0.78425,21.25,0
-1,1,0.74526,10.625,1
1,1,1.008,5.3125,0
-1,3,0.78018,42.5,0
1,3,0.72318,42.5,0.5
-1,1,0.85502,5.3125,1
-1,1,0.89339,5.3125,0.5
